City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto deseado,-47.7503,-65.8938,282.57,52,2,3.87,AR,1701039716
1,linhares,-19.3911,-40.0722,295.01,85,67,1.77,BR,1701039890
2,abepura,-2.6333,140.5833,299.6,89,40,0.51,ID,1701039891
3,aral,40.5156,81.2636,275.94,38,53,1.53,CN,1701039891
4,papatowai,-46.5619,169.4708,287.22,70,99,2.14,NZ,1701039892
5,polovinnoye,54.7914,65.9864,272.88,88,100,3.66,RU,1701039893
6,moron,-34.6534,-58.6198,299.71,70,0,5.36,AR,1701039894
7,punta arenas,-53.15,-70.9167,283.21,53,40,9.77,CL,1701039766
8,ibarreta,-25.2144,-59.8585,297.17,93,62,1.59,AR,1701039895
9,kosterevo,55.9299,39.6144,267.87,95,100,5.76,RU,1701039896
10,yarmouth,41.7057,-70.2286,281.23,81,75,4.12,US,1701039896
11,fort-shevchenko,44.5086,50.263,283.67,86,0,5.32,KZ,1701039898
12,iqaluit,63.7506,-68.5145,261.0,72,75,1.54,CA,1701039693
13,west island,-12.1568,96.8225,299.14,73,75,3.6,CC,1701039899
14,swan hill,-35.3378,143.5544,292.96,52,0,2.96,AU,1701039900
15,waitangi,-43.9535,-176.5597,289.16,93,70,3.13,NZ,1701039901
16,jamestown,42.097,-79.2353,277.9,75,100,5.66,US,1701039684
17,cabo san lucas,22.8909,-109.9124,300.71,62,100,0.45,MX,1701039636
18,palu,-0.8917,119.8707,298.75,91,96,0.63,ID,1701039902
19,grytviken,-54.2811,-36.5092,277.12,95,100,3.9,GS,1701039903
20,yellowknife,62.456,-114.3525,259.44,85,100,3.09,CA,1701039904
21,tiksi,71.6872,128.8694,248.71,100,98,2.86,RU,1701039909
22,cartagena,10.3997,-75.5144,302.94,74,20,4.63,CO,1701039621
23,berdigestyakh,62.0989,126.6992,250.5,95,100,3.28,RU,1701039911
24,port-aux-francais,-49.35,70.2167,276.66,75,100,7.04,TF,1701039911
25,ilulissat,69.2167,-51.1,272.16,93,100,2.06,GL,1701039912
26,keflavik,64.0049,-22.5624,279.1,100,100,8.23,IS,1701039913
27,codrington,-38.2667,141.9667,287.27,67,100,5.92,AU,1701039913
28,chonchi,-42.6128,-73.8092,287.1,77,100,0.89,CL,1701039914
29,utrik,11.2278,169.8474,301.0,72,94,9.21,MH,1701039915
30,kharp,66.8014,65.8081,253.26,97,57,2.22,RU,1701039915
31,port mathurin,-19.6833,63.4167,297.85,74,56,7.61,MU,1701039916
32,san antonio oeste,-40.7319,-64.9477,296.04,21,65,8.08,AR,1701039649
33,mount gambier,-37.8333,140.7667,287.24,64,100,4.26,AU,1701039917
34,isafjordur,66.0755,-23.124,276.84,88,96,4.25,IS,1701039918
35,margaret river,-33.95,115.0667,293.59,61,100,4.58,AU,1701039919
36,paciran,-6.8767,112.3761,299.31,78,97,3.65,ID,1701039920
37,margate,51.3813,1.3862,282.76,94,100,4.02,GB,1701039921
38,bilibino,68.0546,166.4372,260.69,89,14,2.85,RU,1701039922
39,port saint john's,-31.6229,29.5448,295.87,95,95,3.08,ZA,1701039923
40,sinabang,2.4803,96.3801,299.01,80,100,1.3,ID,1701039923
41,wanning,18.8003,110.3967,292.48,87,26,3.69,CN,1701039924
42,kerikeri,-35.2268,173.9474,294.21,70,76,0.89,NZ,1701039925
43,palmares do sul,-30.2578,-50.5097,293.47,80,2,9.06,BR,1701039925
44,santa vitoria do palmar,-33.5189,-53.3681,290.85,86,6,4.81,BR,1701039926
45,mugia,43.1041,-9.2179,286.43,86,100,5.08,ES,1701039927
46,adamstown,-25.066,-130.1015,294.43,86,100,12.54,PN,1701039927
47,naze,28.3667,129.4833,291.66,80,96,2.6,JP,1701039928
48,bredasdorp,-34.5322,20.0403,289.45,80,14,1.14,ZA,1701039929
49,colonia,50.9333,6.95,279.18,82,40,2.57,DE,1701039751
50,vadso,70.0744,29.7487,271.24,80,75,5.66,NO,1701039799
51,ust-nera,64.5667,143.2,248.31,96,99,3.15,RU,1701039930
